ser
para vencer
para convertirse
para comenzar
a sangrar
para soplar
para romper
para llevar
para construir
para quemar
a punto de estallar
para comprar
para atrapar
para elegir
venir
a costo
a la fluencia
para cortar
que hacer
para dibujar
para soñar
para beber
para conducir
comer
a caer
para alimentar
a sentir
para luchar
para encontrar
para encajar
volar
olvidar
para perdonar
para congelar
para obtener
para dar
ir
para crecer
para colgar
tener
escuchar
para ocultar
para golpear
para celebrar
hacer daño
para mantener
arrodillarse
a saber
para sentar
para dirigir
a inclinarse
para aprender
dejar
a prestar
dejar
de mentira
a la luz
perder
para hacer
en el sentido de
para satisfacer
confundir
a pagar
para demostrar
poner
para dejar de fumar
para leer
a montar
para que suene
aumentando
para ejecutar
decir
para ver
a buscar
vender
para enviar
para establecer
para coser
para sacudir
para mostrar
para reducir el tamaño
para cerrar
para cantar
a hundirse
para sentarse
a dormir
para deslizar
para sembrar
hablar
para deletrear
para pasar
derramar
estropear
para difundir
a la primavera
reposar
para robar
para pegar
a picar
para barrer
a hincharse
a nadar
swing
tomar
para enseñar
para rasgar
a contar
pensar
para lanzar
entender
para despertar
al desgaste
a llorar
para mojar
para ganar
al viento
para escribir
surgir
para despertar
para llevar
para doblar
apostar
para hacer una oferta
que se unen
a poco
para reproducirse
para reventar
para emitir
para escindir
aferrarse
para vestir
para hacer frente
para cavar
bucear
morar
a huir
de aventura
prohibir
a abandonar
dorar
para moler
labrar
a tejer
para saltar
para cortar
a declararse
para librar
serrar
afeitarse
a trasquilar
arrojar
para brillar
a la zapata
para disparar
para matar
a la honda
escabullirse
para oler
para acelerar
de giro
escupir
para dividir
a apestar
esparcir
al paso grande
de huelga
a cadena
esforzarse
a jurar
a sudar
de empuje
hollar
para tejer
para casarse
retorcerle
