essere
da battere
diventare
per iniziare
a sanguinare
a soffiare
a rompere
portare
per costruire
a bruciare
per scoppiare
acquistare
per la cattura
di scegliere
venire
al costo
allo scorrimento
tagliare
da fare
disegnare
a sognare
bere
a guidare
mangiare
a cadere
per alimentare
sentire
a combattere
per trovare
per adattarsi
a volare
da dimenticare
di perdonare
di congelare
per ottenere
per dare
andare
a crescere
da appendere
avere
sentire
per nascondere
a colpire
di tenere
fare del male
per mantenere
inginocchiarsi
sapere
stabilire
di condurre
di magra
per imparare
di lasciare
a prestare
lasciare
a mentire
alla luce
perdere
di fare
a significare
per soddisfare
sbagliare
a pagare
dimostrare
di mettere
per uscire
a leggere
a guidare
a suonare
a salire
a correre
a dire
da vedere
cercare
vendere
inviare
per impostare
cucire
a tremare
per mostrare
a ridursi
chiudere
a cantare
ad affondare
per sedersi
a dormire
a scivolare
a seminare
di parlare
a precisare
da spendere
versare
rovinare
diffondere
alla primavera
di stare
per rubare
a bastone
a pungere
a spazzare
a gonfiarsi
a nuotare
di swing
di prendere
per insegnare
a strappare
raccontare
pensare
gettare
per capire
svegliarsi
indossare
a piangere
bagnare
per vincere
al vento
scrivere
a sorgere
di risvegliare
a sopportare
piegare
a scommettere
fare un'offerta
di impegnare
al bit
allevare
a busto
per lanciare
a fendere
aggrapparsi
per vestire
da affrontare
a scavare
per tuffarsi
di abitare
a fuggire
a Fling
di vietare
abbandonare
dorare
per macinare
di strappare
a lavorare a maglia
per saltare
falciare
far valere
per liberare
segare
a radersi
al taglio
a spargere
a brillare
a scarpa
a sparare
per uccidere
a fionda
sgattaiolare
a puzzare
per accelerare
a rotazione
a sputare
per dividere
a puzzare
a spargere
di passo
di sciopero
stringa
ad adoperarsi
a giurare
a sudare
in spinta
percorrere
a tessere
di sposare
a strizzare
