ser
para vencer
para tornar
a começar
a sangrar
a soprar
para quebrar
para trazer
para construir
para queimar
a estourar
para comprar
para pegar
escolher
vir
de custo
a fluência
cortar
fazer
para desenhar
para sonhar
para beber
para dirigir
comer
cair
para alimentar
para sentir
para lutar
para encontrar
para caber
para voar
para esquecer
para perdoar
congelar
para obter
para dar
ir
para crescer
para pendurar
ter
para ouvir
esconder
bater
para segurar
machucá
para manter
ajoelhar-se
saber
para colocar
para liderar
a inclinar-se
aprender
deixar
para emprestar
para deixar
a mentira
à luz
perder
fazer
para significar
para satisfazer
confundir
para pagar
para provar
para colocar
para sair
ler
a andar
para tocar
a subir
para executar
dizer
ver
buscar
para vender
para enviar
para definir
a costurar
a tremer
para mostrar
a encolher
para fechar
para cantar
afundar
para se sentar
para dormir
a deslizar
para semear
falar
soletrar
para gastar
derramar
estragar
para espalhar
para a primavera
repousar
para roubar
para furar
a arder
varrer
inchar
nadar
para balançar
tomar
para ensinar
rasgar
para contar
para pensar
para jogar
compreender
para acordar
ao desgaste
para chorar
para molhar
para ganhar
ao vento
escrever
a surgir
despertar
de suportar
dobrar
a apostar
para licitar
para vincular
para o bit
para se reproduzir
rebentar
para lançar
para clivar
se apegar
para vestir
para lidar
para cavar
para mergulhar
habitar
a fugir
para arremessar
proibir
a abandonar
para dourar
moer
talhar
a tricotar
para saltar
para cortar
para pleitear
para livrar
serrar
fazer a barba
tosquiar
para lançar
para brilhar
de sapato
para atirar
para matar
a funda
para escapulir
cheirar
para acelerar
a rotação
cuspir
dividir
a feder
para espalhar
a passos largos
à greve
para string
esforçar-se
a jurar
a suar
ao impulso
trilhar
tecer
para casar
para torcer
